"motor:","Cesaroni F67W"
"contributor:","Derived from OpenRocket sim export (Argus Sim.ork)"
"details:","Time/Thrust extracted from user OpenRocket simulation, burn phase 0-0.92s"

"Time (s)","Thrust (N)"
0.0,0.0
0.003,67.06
0.008,71.441
0.016,74.505
0.026,75.997
0.036,77.488
0.039,77.936
0.044,78.354
0.05,78.982
0.058,79.683
0.064,80.287
0.068,80.632
0.073,80.976
0.078,81.293
0.083,81.589
0.088,81.866
0.094,82.282
0.099,82.592
0.106,82.868
0.115,83.203
0.124,83.517
0.132,83.818
0.14,84.114
0.148,84.43
0.156,84.601
0.165,84.79
0.176,85.021
0.193,85.368
0.201,85.533
0.213,85.663
0.222,85.761
0.228,85.831
0.234,85.89
0.238,85.943
0.243,85.991
0.247,86.037
0.251,86.081
0.257,86.146
0.261,86.134
0.265,86.123
0.269,86.111
0.273,86.098
0.277,86.085
0.282,86.071
0.288,86.054
0.295,86.033
0.298,86.023
0.303,85.931
0.311,85.792
0.322,85.585
0.328,85.479
0.332,85.396
0.336,85.323
0.34,85.255
0.344,85.191
0.347,85.128
0.351,85.066
0.354,85.003
0.358,84.939
0.361,84.871
0.365,84.796
0.37,84.711
0.376,84.604
0.385,84.443
0.399,84.185
0.404,84.106
0.409,84.044
0.412,83.99
0.416,83.938
0.419,83.889
0.423,83.839
0.426,83.788
0.43,83.734
0.434,83.674
0.439,83.604
0.446,83.506
0.456,83.359
0.467,83.195
0.471,83.128
0.476,83.069
0.479,83.014
0.483,82.96
0.487,82.81
0.491,82.647
0.496,82.452
0.499,82.347
0.503,82.208
0.509,82.0
0.519,81.688
0.524,81.509
0.528,81.366
0.532,81.235
0.536,81.105
0.54,80.969
0.544,80.817
0.55,80.623
0.559,80.332
0.568,80.019
0.573,79.833
0.577,79.682
0.581,79.54
0.585,79.398
0.589,79.244
0.594,79.061
0.601,78.794
0.612,78.409
0.618,78.169
0.625,77.936
0.629,77.955
0.634,77.976
0.641,78.003
0.651,78.043
0.654,78.058
0.659,77.416
0.665,76.68
0.672,75.853
0.678,73.823
0.687,71.073
0.7,67.52
0.707,64.893
0.714,62.005
0.723,57.073
0.731,53.06
0.742,47.288
0.748,44.482
0.756,39.883
0.764,35.659
0.775,28.418
0.778,26.836
0.782,24.822
0.789,20.954
0.797,18.013
0.809,13.602
0.812,12.499
0.817,11.286
0.823,9.466
0.832,7.107
0.845,4.458
0.849,3.676
0.855,2.998
0.864,1.98
0.87,1.225
0.88,0.928
0.894,0.483
0.898,0.368
0.904,0.274
0.912,0.133
0.92,0.0
